	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species
ASV_15092	Eukaryota	Amoebozoa	Conosa	Variosea	Variosea_X	Acramoebidae	Acramoebidae_X	Acramoebidae_X_sp.
ASV_11953	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Hexapoda	Insecta	Acricotopus	Acricotopus_lucens
ASV_134	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_endozoica
ASV_360	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_endozoica
ASV_736	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_leptochaete
ASV_2789	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_leptochaete
ASV_3036	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_leptochaete
ASV_3368	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_leptochaete
ASV_3784	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_leptochaete
ASV_4146	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_leptochaete
ASV_4678	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_leptochaete
ASV_5489	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_leptochaete
ASV_6111	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_leptochaete
ASV_7359	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_leptochaete
ASV_8342	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_leptochaete
ASV_21	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_viridis
ASV_235	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_viridis
ASV_519	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_viridis
ASV_733	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_viridis
ASV_1147	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_viridis
ASV_5203	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Acrochaete_viridis
ASV_4363	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Branchiopoda	Acroperus	Acroperus_harpae
ASV_12567	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Branchiopoda	Acroperus	Acroperus_harpae
ASV_8477	Bacteria	Bacteria_X	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Actimicrobium	Actimicrobium_sp.
ASV_404	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	Actinocephalidae_NA	Actinocephalidae_NA
ASV_1306	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Ostracoda	Actinocythereis	Actinocythereis_costata
ASV_14500	Bacteria	Bacteria_X	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinales_X	Actinomarinales_XX	Actinomarinales_XX_sp.
ASV_410	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Cladophorales	Cladophorales_X	Aegagropila	Aegagropila_linnaei
ASV_9524	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Cladophorales	Cladophorales_X	Aegagropila	Aegagropila_linnaei
ASV_11720	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Cladophorales	Cladophorales_X	Aegagropila	Aegagropila_linnaei
ASV_60	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Cladophorales	Cladophorales_X	Aegagropila	Aegagropila_sp
ASV_9403	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetes_NA	Agaricomycetes_NA
ASV_6281	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetes_X	Agaricomycetes_X_sp
